VTX,	IDX,	Position.x,	Position.y,	Position.z
19206.0,	27837.0,	2.9031906127929688,	-8.44765853881836,	153.35292053222656
19207.0,	27836.0,	2.7126235961914062,	-8.48835277557373,	153.16448974609375
19208.0,	27838.0,	2.7088775634765625,	-8.413740158081055,	153.17193603515625
19209.0,	27827.0,	2.4525909423828125,	-8.459403991699219,	152.7852783203125
19210.0,	27839.0,	2.5736465454101562,	-8.369148254394531,	153.00733947753906
19211.0,	27832.0,	2.5658340454101562,	-8.483612060546875,	152.9938201904297
19212.0,	27838.0,	2.7088775634765625,	-8.413740158081055,	153.17193603515625
19213.0,	27832.0,	2.5658340454101562,	-8.483612060546875,	152.9938201904297
19214.0,	27839.0,	2.5736465454101562,	-8.369148254394531,	153.00733947753906
19215.0,	27839.0,	2.5736465454101562,	-8.369148254394531,	153.00733947753906
19216.0,	27827.0,	2.4525909423828125,	-8.459403991699219,	152.7852783203125
19217.0,	27825.0,	2.4664230346679688,	-8.31425952911377,	152.81129455566406
19218.0,	27837.0,	2.9031906127929688,	-8.44765853881836,	153.35292053222656
19219.0,	27838.0,	2.7088775634765625,	-8.413740158081055,	153.17193603515625
19220.0,	27840.0,	2.7394256591796875,	-8.33882999420166,	153.16806030273438
19221.0,	27839.0,	2.5736465454101562,	-8.369148254394531,	153.00733947753906
19222.0,	27840.0,	2.7394256591796875,	-8.33882999420166,	153.16806030273438
19223.0,	27838.0,	2.7088775634765625,	-8.413740158081055,	153.17193603515625
19224.0,	27840.0,	2.7394256591796875,	-8.33882999420166,	153.16806030273438
19225.0,	27841.0,	2.8117294311523438,	-8.306650161743164,	153.14710998535156
19226.0,	27837.0,	2.9031906127929688,	-8.44765853881836,	153.35292053222656
19227.0,	27837.0,	2.9031906127929688,	-8.44765853881836,	153.35292053222656
19228.0,	27841.0,	2.8117294311523438,	-8.306650161743164,	153.14710998535156
19229.0,	27821.0,	2.88201904296875,	-8.32137680053711,	153.1238250732422
19230.0,	27841.0,	2.8117294311523438,	-8.306650161743164,	153.14710998535156
19231.0,	27820.0,	2.786895751953125,	-8.194656372070312,	152.9692840576172
19232.0,	27821.0,	2.88201904296875,	-8.32137680053711,	153.1238250732422
19233.0,	27840.0,	2.7394256591796875,	-8.33882999420166,	153.16806030273438
19234.0,	27820.0,	2.786895751953125,	-8.194656372070312,	152.9692840576172
19235.0,	27841.0,	2.8117294311523438,	-8.306650161743164,	153.14710998535156
19236.0,	27840.0,	2.7394256591796875,	-8.33882999420166,	153.16806030273438
19237.0,	27839.0,	2.5736465454101562,	-8.369148254394531,	153.00733947753906
19238.0,	27842.0,	2.6506118774414062,	-8.245389938354492,	153.004638671875
19239.0,	27820.0,	2.786895751953125,	-8.194656372070312,	152.9692840576172
19240.0,	27840.0,	2.7394256591796875,	-8.33882999420166,	153.16806030273438
19241.0,	27842.0,	2.6506118774414062,	-8.245389938354492,	153.004638671875
19242.0,	27839.0,	2.5736465454101562,	-8.369148254394531,	153.00733947753906
19243.0,	27843.0,	2.6026992797851562,	-8.176095962524414,	152.80369567871094
19244.0,	27842.0,	2.6506118774414062,	-8.245389938354492,	153.004638671875
19245.0,	27842.0,	2.6506118774414062,	-8.245389938354492,	153.004638671875
19246.0,	27843.0,	2.6026992797851562,	-8.176095962524414,	152.80369567871094
19247.0,	27820.0,	2.786895751953125,	-8.194656372070312,	152.9692840576172
19248.0,	27843.0,	2.6026992797851562,	-8.176095962524414,	152.80369567871094
19249.0,	27839.0,	2.5736465454101562,	-8.369148254394531,	153.00733947753906
19250.0,	27825.0,	2.4664230346679688,	-8.31425952911377,	152.81129455566406
19251.0,	27843.0,	2.6026992797851562,	-8.176095962524414,	152.80369567871094
19252.0,	27817.0,	2.7911148071289062,	-8.116317749023438,	152.76092529296875
19253.0,	27820.0,	2.786895751953125,	-8.194656372070312,	152.9692840576172
19254.0,	27825.0,	2.4664230346679688,	-8.31425952911377,	152.81129455566406
19255.0,	27818.0,	2.5722427368164062,	-8.127717971801758,	152.55621337890625
19256.0,	27843.0,	2.6026992797851562,	-8.176095962524414,	152.80369567871094
19257.0,	27818.0,	2.5722427368164062,	-8.127717971801758,	152.55621337890625
19258.0,	27817.0,	2.7911148071289062,	-8.116317749023438,	152.76092529296875
19259.0,	27843.0,	2.6026992797851562,	-8.176095962524414,	152.80369567871094
19260.0,	27844.0,	10.75576400756836,	5.180633544921875,	167.58132934570312
19261.0,	27845.0,	11.53976058959961,	4.802766799926758,	168.3699188232422
19262.0,	27846.0,	10.541309356689453,	5.418418884277344,	168.14527893066406
19263.0,	27845.0,	11.53976058959961,	4.802766799926758,	168.3699188232422
19264.0,	27844.0,	10.75576400756836,	5.180633544921875,	167.58132934570312
19265.0,	27847.0,	11.358392715454102,	4.853540897369385,	167.34912109375
19266.0,	27848.0,	11.698238372802734,	4.34474515914917,	168.85556030273438
19267.0,	27849.0,	12.59857177734375,	4.108056545257568,	167.8710174560547
19268.0,	27845.0,	11.53976058959961,	4.802766799926758,	168.3699188232422
19269.0,	27845.0,	11.53976058959961,	4.802766799926758,	168.3699188232422
19270.0,	27847.0,	11.358392715454102,	4.853540897369385,	167.34912109375
19271.0,	27850.0,	12.11065673828125,	4.139060020446777,	167.6351318359375
19272.0,	27850.0,	12.11065673828125,	4.139060020446777,	167.6351318359375
19273.0,	27848.0,	11.698238372802734,	4.34474515914917,	168.85556030273438
19274.0,	27845.0,	11.53976058959961,	4.802766799926758,	168.3699188232422
19275.0,	27851.0,	11.778593063354492,	4.470141887664795,	167.09967041015625
19276.0,	27850.0,	12.11065673828125,	4.139060020446777,	167.6351318359375
19277.0,	27847.0,	11.358392715454102,	4.853540897369385,	167.34912109375
19278.0,	27850.0,	12.11065673828125,	4.139060020446777,	167.6351318359375
19279.0,	27851.0,	11.778593063354492,	4.470141887664795,	167.09967041015625
19280.0,	27852.0,	12.136857986450195,	3.888817310333252,	166.9407501220703
19281.0,	27848.0,	11.698238372802734,	4.34474515914917,	168.85556030273438
19282.0,	27850.0,	12.11065673828125,	4.139060020446777,	167.6351318359375
19283.0,	27853.0,	12.292991638183594,	3.601529121398926,	167.82310485839844
19284.0,	27850.0,	12.11065673828125,	4.139060020446777,	167.6351318359375
19285.0,	27852.0,	12.136857986450195,	3.888817310333252,	166.9407501220703
19286.0,	27854.0,	12.388053894042969,	3.66001033782959,	167.17739868164062
19287.0,	27850.0,	12.11065673828125,	4.139060020446777,	167.6351318359375
19288.0,	27854.0,	12.388053894042969,	3.66001033782959,	167.17739868164062
19289.0,	27853.0,	12.292991638183594,	3.601529121398926,	167.82310485839844
19290.0,	27854.0,	12.388053894042969,	3.66001033782959,	167.17739868164062
19291.0,	27852.0,	12.136857986450195,	3.888817310333252,	166.9407501220703
19292.0,	27855.0,	12.393369674682617,	3.4792327880859375,	166.81556701660156
19293.0,	27853.0,	12.292991638183594,	3.601529121398926,	167.82310485839844
19294.0,	27856.0,	12.415958404541016,	3.176166534423828,	167.499755859375
19295.0,	27857.0,	12.044010162353516,	3.38973331451416,	168.06101989746094
19296.0,	27854.0,	12.388053894042969,	3.66001033782959,	167.17739868164062
19297.0,	27855.0,	12.393369674682617,	3.4792327880859375,	166.81556701660156
19298.0,	27858.0,	12.56301498413086,	3.1655235290527344,	166.91802978515625
19299.0,	27855.0,	12.393369674682617,	3.4792327880859375,	166.81556701660156
19300.0,	27859.0,	12.737258911132812,	2.5960536003112793,	166.6832733154297
19301.0,	27858.0,	12.56301498413086,	3.1655235290527344,	166.91802978515625
19302.0,	27854.0,	12.388053894042969,	3.66001033782959,	167.17739868164062
19303.0,	27860.0,	12.454872131347656,	3.4292006492614746,	167.39329528808594
19304.0,	27853.0,	12.292991638183594,	3.601529121398926,	167.82310485839844
19305.0,	27860.0,	12.454872131347656,	3.4292006492614746,	167.39329528808594
19306.0,	27854.0,	12.388053894042969,	3.66001033782959,	167.17739868164062
19307.0,	27858.0,	12.56301498413086,	3.1655235290527344,	166.91802978515625
19308.0,	27853.0,	12.292991638183594,	3.601529121398926,	167.82310485839844
19309.0,	27860.0,	12.454872131347656,	3.4292006492614746,	167.39329528808594
19310.0,	27856.0,	12.415958404541016,	3.176166534423828,	167.499755859375
19311.0,	27858.0,	12.56301498413086,	3.1655235290527344,	166.91802978515625
