VTX,	IDX,	Position.x,	Position.y,	Position.z
6927.0,	1756.0,	9.305419921875,	-1.6624294519424438,	6.024809837341309
6928.0,	1754.0,	9.028420448303223,	-1.4669893980026245,	5.405900001525879
6929.0,	1758.0,	9.020310401916504,	-1.951439380645752,	5.854959964752197
6930.0,	1757.0,	8.855252265930176,	-1.6440973281860352,	5.319027423858643
6931.0,	1758.0,	9.020310401916504,	-1.951439380645752,	5.854959964752197
6932.0,	1754.0,	9.028420448303223,	-1.4669893980026245,	5.405900001525879
6933.0,	1756.0,	9.305419921875,	-1.6624294519424438,	6.024809837341309
6934.0,	1759.0,	9.697600364685059,	-1.4205894470214844,	6.660459995269775
6935.0,	1739.0,	9.543439865112305,	-1.1684894561767578,	6.130529880523682
6936.0,	1741.0,	9.859060287475586,	-0.7169194221496582,	6.704319953918457
6937.0,	1739.0,	9.543439865112305,	-1.1684894561767578,	6.130529880523682
6938.0,	1759.0,	9.697600364685059,	-1.4205894470214844,	6.660459995269775
6939.0,	1758.0,	9.020310401916504,	-1.951439380645752,	5.854959964752197
6940.0,	1760.0,	9.416950225830078,	-2.378629446029663,	6.644619941711426
6941.0,	1756.0,	9.305419921875,	-1.6624294519424438,	6.024809837341309
6942.0,	1760.0,	9.416950225830078,	-2.378629446029663,	6.644619941711426
6943.0,	1759.0,	9.697600364685059,	-1.4205894470214844,	6.660459995269775
6944.0,	1756.0,	9.305419921875,	-1.6624294519424438,	6.024809837341309
6945.0,	1758.0,	9.020310401916504,	-1.951439380645752,	5.854959964752197
6946.0,	1757.0,	8.855252265930176,	-1.6440973281860352,	5.319027423858643
6947.0,	1761.0,	8.868409156799316,	-2.1501381397247314,	5.686783313751221
6948.0,	1759.0,	9.697600364685059,	-1.4205894470214844,	6.660459995269775
6949.0,	1762.0,	10.028260231018066,	-0.7868093848228455,	7.5094099044799805
6950.0,	1741.0,	9.859060287475586,	-0.7169194221496582,	6.704319953918457
6951.0,	1761.0,	8.868409156799316,	-2.1501381397247314,	5.686783313751221
6952.0,	1763.0,	9.005820274353027,	-2.6757495403289795,	6.311260223388672
6953.0,	1758.0,	9.020310401916504,	-1.951439380645752,	5.854959964752197
6954.0,	1758.0,	9.020310401916504,	-1.951439380645752,	5.854959964752197
6955.0,	1763.0,	9.005820274353027,	-2.6757495403289795,	6.311260223388672
6956.0,	1760.0,	9.416950225830078,	-2.378629446029663,	6.644619941711426
6957.0,	1764.0,	8.753314018249512,	-1.8242568969726562,	5.213651657104492
6958.0,	1761.0,	8.868409156799316,	-2.1501381397247314,	5.686783313751221
6959.0,	1757.0,	8.855252265930176,	-1.6440973281860352,	5.319027423858643
6960.0,	1757.0,	8.855252265930176,	-1.6440973281860352,	5.319027423858643
6961.0,	1755.0,	8.734752655029297,	-1.4969122409820557,	4.861611366271973
6962.0,	1764.0,	8.753314018249512,	-1.8242568969726562,	5.213651657104492
6963.0,	1760.0,	9.416950225830078,	-2.378629446029663,	6.644619941711426
6964.0,	1765.0,	9.912819862365723,	-1.6140494346618652,	7.505670070648193
6965.0,	1759.0,	9.697600364685059,	-1.4205894470214844,	6.660459995269775
6966.0,	1762.0,	10.028260231018066,	-0.7868093848228455,	7.5094099044799805
6967.0,	1759.0,	9.697600364685059,	-1.4205894470214844,	6.660459995269775
6968.0,	1765.0,	9.912819862365723,	-1.6140494346618652,	7.505670070648193
6969.0,	1765.0,	9.912819862365723,	-1.6140494346618652,	7.505670070648193
6970.0,	1760.0,	9.416950225830078,	-2.378629446029663,	6.644619941711426
6971.0,	1766.0,	9.705100059509277,	-2.5164096355438232,	7.495369911193848
6972.0,	1767.0,	10.10612964630127,	0.00031060236506164074,	7.504819869995117
6973.0,	1741.0,	9.859060287475586,	-0.7169194221496582,	6.704319953918457
6974.0,	1762.0,	10.028260231018066,	-0.7868093848228455,	7.5094099044799805
6975.0,	1741.0,	9.859060287475586,	-0.7169194221496582,	6.704319953918457
6976.0,	1767.0,	10.10612964630127,	0.00031060236506164074,	7.504819869995117
